Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1991","1991","7021","Annual value","LCU","5600","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1992","1992","7021","Annual value","LCU","7350","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1993","1993","7021","Annual value","LCU","7130","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1994","1994","7021","Annual value","LCU","7280","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1995","1995","7021","Annual value","LCU","9310","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1996","1996","7021","Annual value","LCU","10520","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1997","1997","7021","Annual value","LCU","13740","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1998","1998","7021","Annual value","LCU","14090","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","1999","1999","7021","Annual value","LCU","14200","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2000","2000","7021","Annual value","LCU","14770","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2001","2001","7021","Annual value","LCU","14650","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2002","2002","7021","Annual value","LCU","18110","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2003","2003","7021","Annual value","LCU","19540","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2004","2004","7021","Annual value","LCU","21270","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2005","2005","7021","Annual value","LCU","20580","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2006","2006","7021","Annual value","LCU","20150","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2007","2007","7021","Annual value","LCU","24710","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2008","2008","7021","Annual value","LCU","36730","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2009","2009","7021","Annual value","LCU","35460","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2010","2010","7021","Annual value","LCU","34640","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2011","2011","7021","Annual value","LCU","38930","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2012","2012","7021","Annual value","LCU","35250","A","Official figure"
"PP","Producer Prices","144","Sri Lanka","5530","Producer Price (LCU/tonne)","0112","Maize (corn)","2013","2013","7021","Annual value","LCU","31479","A","Official figure"
