Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1961","1961","100 g/ha","7269","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1962","1962","100 g/ha","7814","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1963","1963","100 g/ha","7096","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1964","1964","100 g/ha","8354","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1965","1965","100 g/ha","8340","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1966","1966","100 g/ha","7861","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1967","1967","100 g/ha","11726","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1968","1968","100 g/ha","7239","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1969","1969","100 g/ha","8245","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","7560","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1971","1971","100 g/ha","7124","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1972","1972","100 g/ha","7518","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1973","1973","100 g/ha","7084","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1974","1974","100 g/ha","6697","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1975","1975","100 g/ha","6827","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1976","1976","100 g/ha","7027","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1977","1977","100 g/ha","6539","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1978","1978","100 g/ha","7400","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1979","1979","100 g/ha","10677","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1980","1980","100 g/ha","10909","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1981","1981","100 g/ha","9178","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1982","1982","100 g/ha","8379","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1983","1983","100 g/ha","10965","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1984","1984","100 g/ha","10715","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1985","1985","100 g/ha","9150","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1986","1986","100 g/ha","13018","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1987","1987","100 g/ha","12012","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1988","1988","100 g/ha","10486","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1989","1989","100 g/ha","10505","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1990","1990","100 g/ha","11227","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1991","1991","100 g/ha","11916","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1992","1992","100 g/ha","10390","A","Official figure"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1993","1993","100 g/ha","9712","A","Official figure"
